Ref,Val,Package,PosX,PosY,Rot,Side
"SW1","SW_Push","KSA_Tactile_SPST",25.000000,-37.880000,180.000000,bottom
"SW2","SW_Push","KSA_Tactile_SPST",25.000000,-56.500000,180.000000,bottom
"Select1","SW_Push","KSA_Tactile_SPST",248.500000,-21.500000,180.000000,bottom
"Start1","SW_Push","KSA_Tactile_SPST",267.500000,-21.500000,180.000000,bottom
"U5","ER_OLEDM0.91_1x-I2C","LCD_OLED_128X64_1.3_I2C",255.190000,-56.050000,180.000000,bottom
"A1","MX_SW_HS","SW_MX_HS_CPG151101S11_1u",130.080344,-68.679794,-10.000000,top
"A2","MX_SW_HS","SW_MX_HS_CPG151101S11_1u",109.667893,-63.049675,-10.000000,top
"A3","MX_SW_HS","SW_MX_HS_CPG151101S11_1u",87.828475,-60.214223,-10.000000,top
"A4","MX_SW_HS","SW_MX_HS_CPG151101S11_1u",66.945323,-60.593666,-10.000000,top
"B1","MX_SW_HS","SW_MX_HS_CPG151101S11_1u",126.554097,-88.447788,-10.000000,top
"B2","MX_SW_HS","SW_MX_HS_CPG151101S11_1u",106.116145,-82.731938,-10.000000,top
"B3","MX_SW_HS","SW_MX_HS_CPG151101S11_1u",84.355511,-79.910378,-10.000000,top
"B4","MX_SW_HS","SW_MX_HS_CPG151101S11_1u",63.472359,-80.289821,-10.000000,top
"C1","1u","C_0603_1608Metric",143.500000,-24.275000,-90.000000,top
"C2","1u","C_0603_1608Metric",178.150000,-26.500000,180.000000,top
"C3","1u","C_0603_1608Metric",157.500000,-24.500000,-90.000000,top
"C4","100n","C_0603_1608Metric",24.725000,-32.000000,180.000000,top
"C5","100n","C_0603_1608Metric",167.225000,-36.000000,180.000000,top
"C6","100n","C_0603_1608Metric",29.000000,-45.500000,180.000000,top
"C7","100n","C_0603_1608Metric",154.000000,-24.500000,-90.000000,top
"C8","100n","C_0603_1608Metric",200.000000,-31.500000,0.000000,top
"C9","100n","C_0603_1608Metric",154.775000,-29.500000,180.000000,top
"C10","100n","C_0603_1608Metric",174.725000,-42.500000,180.000000,top
"C11","1u","C_0603_1608Metric",162.000000,-32.275000,-90.000000,top
"C12","100n","C_0603_1608Metric",175.225000,-22.500000,0.000000,top
"C13","100n","C_0603_1608Metric",174.775000,-32.500000,0.000000,top
"C14","30p","C_0603_1608Metric",166.225000,-50.000000,180.000000,top
"C15","30p","C_0603_1608Metric",166.275000,-44.500000,180.000000,top
"C16","1u","C_0603_1608Metric",162.500000,-15.775000,90.000000,top
"C17","C","C_0603_1608Metric",242.775000,-32.000000,0.000000,top
"D2","1N4001","D_SOD-323",181.439792,-93.342085,-170.000000,top
"D3","1N4001","D_SOD-323",200.692784,-89.947263,-170.000000,top
"D4","1N4001","D_SOD-323",197.257403,-70.752194,-170.000000,top
"D5","1N4001","D_SOD-323",219.760470,-86.077402,-170.000000,top
"D6","1N4001","D_SOD-323",129.220143,-73.097537,170.000000,top
"D7","1N4001","D_SOD-323",108.807692,-67.467418,170.000000,top
"D8","1N4001","D_SOD-323",87.096298,-64.654540,170.000000,top
"D9","1N4001","D_SOD-323",66.213146,-65.033984,170.000000,top
"D10","1N4001","D_SOD-323",154.010000,-122.500000,180.000000,top
"D11","1N4001","D_SOD-323",125.747179,-92.793692,170.000000,top
"D12","1N4001","D_SOD-323",105.334728,-87.163573,170.000000,top
"D13","1N4001","D_SOD-323",83.574094,-84.342013,170.000000,top
"D14","1N4001","D_SOD-323",62.690943,-84.721456,170.000000,top
"DOWN1","MX_SW_HS","SW_MX_HS_CPG151101S11_1u",200.000000,-85.500000,10.000000,top
"F1","1A","Fuse_1206_3216Metric",128.600000,-17.500000,0.000000,top
"FB1","100 oHM 100 MHz","L_0402_1005Metric",141.960000,-17.500000,0.000000,top
"J1","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_GCT_USB4085",116.475000,-17.025000,180.000000,top
"J2","JST- 1.00mm 4 Pin","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",204.000000,-14.500000,180.000000,top
"LEFT1","MX_SW_HS","SW_MX_HS_CPG151101S11_1u",180.579591,-88.924342,10.000000,top
"R1","5100","R_0805_2012Metric",106.000000,-24.500000,180.000000,top
"R2","5100","R_0805_2012Metric",106.000000,-21.000000,180.000000,top
"R3","22","R_0805_2012Metric",174.500000,-17.912500,90.000000,top
"R4","22","R_0805_2012Metric",179.500000,-17.912500,90.000000,top
"R5","1000","R_0805_2012Metric",169.000000,-39.000000,90.000000,top
"R6","1k","R_0805_2012Metric",182.000000,-23.500000,180.000000,top
"R7","1k","R_0805_2012Metric",182.150000,-26.500000,0.000000,top
"RIGHT1","MX_SW_HS","SW_MX_HS_CPG151101S11_1u",219.144663,-82.124279,10.000000,top
"U1","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",169.030000,-28.155000,0.000000,top
"U2","USBLC6-2SC6","SOT-23-6",115.500000,-25.000000,0.000000,top
"U3","AP2127N3-1.2","TSOT-23",148.500000,-23.500000,180.000000,top
"U4","MX25R3235FZNxx0","WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4mm",167.365000,-18.337500,90.000000,top
"UP1","MX_SW_HS","SW_MX_HS_CPG151101S11_1u",196.515379,-66.313613,10.000000,top
"UP2","MX_SW_HS","SW_MX_HS_CPG151101S11_1u",154.000000,-118.080000,0.000000,top
"Y1","12MHz Crystal 3225","Crystal_SMD_3225-4Pin_3.2x2.5mm",170.900000,-47.150000,0.000000,top
