Comment,Designator,Footprint,LCSC,Quantity
12MHz Crystal 3225,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002,1
MX_SW_HS,A3,SW_MX_HS_CPG151101S11_1u,,1
1N4001,D12,D_SOD-323,,1
1N4001,D7,D_SOD-323,,1
RP2040,U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,,1
MX_SW_HS,DOWN1,SW_MX_HS_CPG151101S11_1u,,1
USBLC6-2SC6,U2,SOT-23-6,,1
W25Q16JVSS,U4,SOIC-8_5.3x5.3mm_P1.27mm,,1
1u,C16,C_0603_1608Metric,,1
5100,R2,R_0805_2012Metric,,1
1000,R5,R_0805_2012Metric,,1
1N4001,D5,D_SOD-323,,1
1A,F1,Fuse_1206_3216Metric,,1
100 oHM 100 MHz,FB1,L_0402_1005Metric,,1
1N4001,D4,D_SOD-323,,1
MX_SW_HS,B2,SW_MX_HS_CPG151101S11_1u,,1
100n,C4,C_0603_1608Metric,,1
MX_SW_HS,B1,SW_MX_HS_CPG151101S11_1u,,1
100n,C6,C_0603_1608Metric,,1
MX_SW_HS,RIGHT1,SW_MX_HS_CPG151101S11_1u,,1
1N4001,D6,D_SOD-323,,1
30p,C14,C_0603_1608Metric,,1
1u,C2,C_0603_1608Metric,,1
1N4001,D3,D_SOD-323,,1
MX_SW_HS,B3,SW_MX_HS_CPG151101S11_1u,,1
MX_SW_HS,A1,SW_MX_HS_CPG151101S11_1u,,1
22,R4,R_0805_2012Metric,,1
1u,C11,C_0603_1608Metric,,1
USB_C_Receptacle_USB2.0_16P,J1,USB_C_Receptacle_GCT_USB4085,,1
22,R3,R_0805_2012Metric,,1
MX_SW_HS,B4,SW_MX_HS_CPG151101S11_1u,,1
100n,C9,C_0603_1608Metric,,1
100n,C13,C_0603_1608Metric,,1
MX_SW_HS,A4,SW_MX_HS_CPG151101S11_1u,,1
1u,C1,C_0603_1608Metric,,1
MX_SW_HS,UP2,SW_MX_HS_CPG151101S11_1u,,1
1u,C3,C_0603_1608Metric,,1
1N4001,D9,D_SOD-323,,1
MX_SW_HS,LEFT1,SW_MX_HS_CPG151101S11_1u,,1
JST- 1.00mm 4 Pin,J2,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,,1
100n,C7,C_0603_1608Metric,,1
C,C17,C_0603_1608Metric,,1
5100,R1,R_0805_2012Metric,,1
1N4001,D2,D_SOD-323,,1
100n,C8,C_0603_1608Metric,,1
100n,C5,C_0603_1608Metric,,1
1k,R7,R_0805_2012Metric,,1
30p,C15,C_0603_1608Metric,,1
MX_SW_HS,UP1,SW_MX_HS_CPG151101S11_1u,,1
100n,C12,C_0603_1608Metric,,1
1N4001,D10,D_SOD-323,,1
1N4001,D13,D_SOD-323,,1
MX_SW_HS,A2,SW_MX_HS_CPG151101S11_1u,,1
1k,R6,R_0805_2012Metric,,1
AP2127N3-1.2,U3,TSOT-23,,1
1N4001,D8,D_SOD-323,,1
1N4001,D11,D_SOD-323,,1
100n,C10,C_0603_1608Metric,,1
1N4001,D14,D_SOD-323,,1
SW_Push,SW1,SW_SPST_TL3305A,,1
ER_OLEDM0.91_1x-I2C,U5,LCD_OLED_128X64_1.3_I2C,,1
SW_Push,Start1,SW_SPST_TL3305A,,1
SW_Push,SW2,SW_SPST_TL3305A,,1
SW_Push,Select1,SW_SPST_TL3305A,,1
